Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Юрист,Холдинг Арбитражных Управляющих (ИП Бобров Константин Васильевич),40 000 – 70 000 ₽ на руки,https://adsrv.hh.ru/click?b=960515&place=35&meta=OtX907LrYvZVFU6TVIms6ZTf-D23X0XqiciuYHiqxk94S8goByUGuVDh4nKFCz59Aib3CiOUysCYiGnbujNsF7a9dsclmbWu3j6sqEWOPjucAoOpG83ug0cqiEnMlHEVTwweSQS1itVSWSopieA2Bx2AGBPCnOdX-S0oIFzMvg9emb70kVTllkxIV89uJ7hWgoM5iONrD_JledfmfAFKQxjAo_bztOvoH_NbzERtGT7f_W_Tz--JWgoNi8T830MvBojGz7yQxISaEZMrtwJ93HgmGfuXv4nSD3UHxJxfF7D89Gi5oFbwg4ANVDoW2PxUKFDCTe60IwccpVjGvGvSVXngskKSyrWe-o1IfKMc9ZTa-1fN6WQ4LxxIKuHxw4FkH843A595fYIk1pgguHTYs1V5ErKZsdd8eZNC6TuMRhIACZe3MVTJUtMd2mkXJtHya4jkw8pKuJn0UCTkyO16soUh7hFjVBSrTI9J4N-Z7UYIf1I67-YScMLJkzcWJ5oBLcpS4yLyxgOIIprFANHkcQ%3D%3D&clickType=link_to_vacancy
Юрист,Военно-правовой центр,от 60 000 ₽ на руки,https://adsrv.hh.ru/click?b=1019047&place=36&meta=XzCbOcpKBm55EXXh5L5ik7u0WMOpn-AEuX7NHwRxlf7ZNNFz48adiRs9IYMP9u0f2CNtbYr-t4l24iHmZ2m2iMYyq6sfa5nIzihh6vuvDjlZ2IABhlax87feMbRrYZyZ27W3Y8xOcTJPcF9f4DqmYIv0anM1hC5Vfb46XYYm6fiq02GNHCUPOPwlvjvMay2jZ_0V6wO9StWnU6hA5kXZWLcq8uMmee3a9JXm-iT47smVxOC6CtCQ8o4vEdAII2r68eWtDkGq3YwhMRtVygQYiTz2bY4vCXFAc4QBXr6ylAQTV2xnNL2hTgv6z3RffLfn7rNe0m0wXgvK-9KuizZ8JYGsPaEXQnEaX63SJ8xg6ms8c51QkUcVzlTmlJaRdjd0SqEUeOz-fPK20P2O0sKG6D556JjlqBg8ILqP2NVARcIb5RBvvGUurZBKYJPclL1NLd3HrtQ91CL-C0TYpEmVhW92WXzOj3xvHsZI7q9MV0_eEMyPWI1c3kfanYm3p3P3eoVDu3y1lbimjkCerP9UGw%3D%3D&clickType=link_to_vacancy
Юрисконсульт,АО Калининградский филиал Московское ПрОП,37 900 – 37 900 ₽ на руки,https://kaliningrad.hh.ru/vacancy/100045221?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист поддержки,Холдинг Арбитражных Управляющих (ИП Бобров Константин Васильевич),40 000 – 40 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98449477?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист,МАУ Молодёжный центр,от 40 000 ₽ до вычета налогов,https://kaliningrad.hh.ru/vacancy/99948330?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист,ООО ЮК Заря,от 70 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98768609?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист,ЦВД,50 000 – 100 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/91710832?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист,Мастер СПА,50 000 – 60 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/97417604?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,"Содружество, Группа компаний",от 97 800 ₽ до вычета налогов,https://kaliningrad.hh.ru/vacancy/97416407?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,Государственное бюджетное учреждение Здравоохранения Калининградской Области Городская Больница № 4,30 000 – 35 000 ₽ до вычета налогов,https://kaliningrad.hh.ru/vacancy/96114599?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист в договорной отдел,ООО Специализированный Застройщик Центрфорвардстрой,от 50 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99985660?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист,ООО Альянс39,от 52 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98733588?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист,ООО Монолит Актив,45 000 – 55 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98370126?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист,"МП-Технологии, группа компаний",от 70 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98491476?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист,ООО Лидер СК,от 50 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99704726?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Помощник юриста,ЦВД,25 000 – 30 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/91710738?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,ГКУ КО Центр Занятости Населения Калининградской Области,35 000 – 40 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99622491?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Помощник юриста,ООО Альянс39,от 25 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98733541?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист первичного приёма/Начинающий юрист/Юрисконсульт,ООО Национальный союз юридической защиты,69 400 – 128 700 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99671020?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист / Помощник арбитражного управляющего (удаленно),ООО БизнесЮрист,50 000 – 70 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99804307?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Помощник юриста - Начинающий юрист,ООО Национальный союз юридической защиты,60 000 – 120 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99480985?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,ООО Юридическая инициатива,50 000 – 80 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99324461?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист первичного приема (Банкротство),ООО Современная защита,80 000 – 100 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/96189079?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист,МКУ КРСЦ,от 45 000 ₽ до вычета налогов,https://kaliningrad.hh.ru/vacancy/99173696?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,ГБУВ КО Областная СББЖ,45 000 – 55 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99161507?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,ООО КИО,от 100 000 ₽ до вычета налогов,https://kaliningrad.hh.ru/vacancy/95650140?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист первичного приема,ИП Галь Кирилл Степанович,60 000 – 150 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98471895?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,Группа компаний Новикъ,от 50 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/93186653?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,АО Агроменеджмент,50 000 – 50 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99015074?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Помощник юриста,ООО ЮК Заря,от 40 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98542270?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,ООО ЧОП Патриот,от 45 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98830825?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий юрисконсульт,ФГАОУ ВО Балтийский Федеральный университет имени Иммануила Канта,32 772 – 49 000 ₽ до вычета налогов,https://kaliningrad.hh.ru/vacancy/95218925?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий юрист,ООО Юридический центр Максимум+,от 50 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99055902?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Руководитель отдела продаж,ООО Юрист Для Людей,120 000 – 250 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99033469?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий юрист,ООО МаксиГрупп,от 70 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98972695?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист первичного приема/Юрист-консультант,ООО Юридический центр Максимум+,40 000 – 140 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99055752?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист,КА Формула успеха,от 80 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98561227?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист (г. Калининград),ИП Урсакий Виктор Васильевич,от 35 000 ₽ до вычета налогов,https://kaliningrad.hh.ru/vacancy/98958350?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист в строительную компанию,ООО КАС,от 80 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99038865?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Региональный менеджер,ООО Ваш юрист,от 150 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/92706232?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,ООО Зеленоградск-Транс,от 45 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/96517556?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист по банкротству,ООО ЮК Заря,от 70 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/95174733?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт управления общеправовой работы,ОАО Янтарьэнергосбыт,45 165 – 45 165 ₽ до вычета налогов,https://kaliningrad.hh.ru/vacancy/97196970?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт отдела по имуществу,ГП КО Водоканал,до 48 207 ₽ до вычета налогов,https://kaliningrad.hh.ru/vacancy/99027033?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
